Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
6.0500        -452.2446    -454.3068       2.0622   257.3
6.1000        -452.3994    -454.2696       1.8702   233.4
6.1500        -451.8960    -454.1613       2.2653   282.7
6.2000        -451.7904    -454.1362       2.3458   292.7
6.2500        -451.4191    -453.8464       2.4272   302.9
6.3000        -450.9970    -453.5844       2.5874   322.9
6.3500        -451.1732    -453.4272       2.2541   281.3
6.4000        -451.3247    -453.9555       2.6308   328.3
6.4500        -451.3768    -453.7842       2.4074   300.4
6.5000        -451.8147    -453.9615       2.1468   267.9
6.5500        -451.8998    -454.1686       2.2689   283.1
6.6000        -451.2358    -454.0020       2.7662   345.2
6.6500        -452.0431    -454.1642       2.1211   264.7
6.7000        -451.4830    -453.8749       2.3919   298.5
6.7500        -451.4140    -453.6125       2.1985   274.3
6.8000        -451.2514    -453.6880       2.4366   304.0
6.8500        -451.3460    -453.8775       2.5315   315.9
6.9000        -451.6157    -454.1226       2.5070   312.8
6.9500        -451.9719    -454.2729       2.3010   287.1
7.0000        -451.4587    -454.0530       2.5943   323.7
7.0500        -452.0131    -454.1933       2.1802   272.0
7.1000        -452.0522    -454.0592       2.0070   250.4
7.1500        -452.2610    -454.4250       2.1640   270.0
7.2000        -451.5282    -453.9245       2.3963   299.0
7.2500        -451.4933    -454.1393       2.6460   330.2
7.3000        -451.6359    -454.0336       2.3977   299.2
7.3500        -451.6282    -453.7166       2.0884   260.6
7.4000        -452.0774    -454.4652       2.3877   297.9
7.4500        -452.1743    -454.6241       2.4497   305.7
7.5000        -452.3194    -454.5880       2.2686   283.1
7.5500        -452.2184    -454.2709       2.0525   256.1
7.6000        -451.8929    -454.3171       2.4241   302.5
7.6500        -451.6792    -453.8365       2.1573   269.2
7.7000        -451.0421    -453.8681       2.8260   352.6
7.7500        -451.7624    -454.1890       2.4266   302.8
7.8000        -451.2746    -453.8747       2.6001   324.4
7.8500        -451.2566    -453.7674       2.5108   313.3
7.9000        -450.9320    -453.5474       2.6154   326.4
7.9500        -451.0776    -453.3893       2.3117   288.5
8.0000        -451.5890    -453.9164       2.3275   290.4
8.0500        -451.3264    -453.9950       2.6685   333.0
8.1000        -451.8896    -454.0600       2.1703   270.8
8.1500        -451.8103    -454.1108       2.3005   287.1
8.2000        -451.8944    -454.2797       2.3853   297.6
8.2500        -451.9879    -454.2380       2.2501   280.8
8.3000        -451.7310    -454.2699       2.5389   316.8
8.3500        -451.5942    -453.8856       2.2914   285.9
8.4000        -451.1069    -453.8769       2.7700   345.6
8.4500        -451.6208    -454.0703       2.4495   305.6
8.5000        -451.6155    -454.0081       2.3926   298.6
8.5500        -451.5254    -453.6647       2.1393   266.9
8.6000        -452.1014    -454.1721       2.0707   258.4
8.6500        -451.3476    -453.6425       2.2949   286.4
8.7000        -451.6925    -454.4491       2.7566   344.0
8.7500        -451.6318    -454.3234       2.6916   335.9
8.8000        -451.3359    -453.7975       2.4616   307.2
8.8500        -451.4496    -454.3170       2.8674   357.8
8.9000        -451.7573    -453.8393       2.0820   259.8
8.9500        -451.4859    -453.9407       2.4548   306.3
9.0000        -451.8458    -454.1683       2.3225   289.8
9.0500        -451.3789    -453.9601       2.5811   322.1
9.1000        -450.8871    -453.9676       3.0806   384.4
9.1500        -451.4933    -453.7591       2.2658   282.7
9.2000        -451.7413    -453.9649       2.2235   277.5
9.2500        -451.6683    -453.8463       2.1780   271.8
9.3000        -452.1070    -454.6252       2.5181   314.2
9.3500        -451.4713    -453.8224       2.3510   293.4
9.4000        -451.6517    -454.0305       2.3788   296.8
9.4500        -451.4698    -454.0753       2.6056   325.1
9.5000        -451.6006    -454.1778       2.5772   321.6
9.5500        -451.5072    -454.0905       2.5833   322.3
9.6000        -451.4455    -453.9291       2.4836   309.9
9.6500        -451.2061    -453.6838       2.4778   309.2
9.7000        -451.8699    -454.2532       2.3833   297.4
9.7500        -451.6340    -454.1084       2.4745   308.8
9.8000        -451.3783    -453.7149       2.3366   291.6
9.8500        -451.4738    -453.9046       2.4308   303.3
9.9000        -451.6803    -453.9403       2.2600   282.0
9.9500        -451.2399    -453.7444       2.5045   312.5
10.0000       -451.0586    -453.8364       2.7778   346.6
10.0500       -451.3043    -453.7769       2.4726   308.5
10.1000       -450.9186    -453.2894       2.3708   295.8
10.1500       -451.4504    -453.8718       2.4214   302.1
10.2000       -451.7663    -454.0042       2.2379   279.3
10.2500       -451.5541    -454.1932       2.6391   329.3
10.3000       -451.1754    -453.8976       2.7222   339.7
10.3500       -451.6673    -454.1946       2.5272   315.3
10.4000       -451.3849    -453.9523       2.5674   320.4
10.4500       -451.1386    -453.9873       2.8487   355.5
10.5000       -451.0599    -453.6684       2.6085   325.5
10.5500       -451.4786    -453.8365       2.3579   294.2
10.6000       -451.4928    -453.7256       2.2328   278.6
10.6500       -451.3970    -453.9361       2.5391   316.8
10.7000       -451.8073    -454.1797       2.3723   296.0
10.7500       -451.5487    -454.0758       2.5271   315.3
10.8000       -451.4029    -453.9039       2.5010   312.1
10.8500       -451.8884    -453.7545       1.8661   232.8
10.9000       -451.6234    -453.7053       2.0819   259.8
10.9500       -451.9671    -454.1171       2.1500   268.3
11.0000       -452.0161    -454.4445       2.4284   303.0
11.0500       -451.8109    -454.2602       2.4492   305.6
11.1000       -451.2793    -453.6206       2.3413   292.1
11.1500       -451.4347    -453.7991       2.3644   295.0
11.2000       -451.4403    -453.9155       2.4752   308.9
11.2500       -451.4769    -454.2304       2.7535   343.6
11.3000       -451.1467    -453.7853       2.6386   329.2
11.3500       -451.1942    -453.9469       2.7527   343.5
11.4000       -451.8318    -453.9086       2.0767   259.1
11.4500       -451.5141    -454.0693       2.5552   318.8
11.5000       -451.7203    -454.2068       2.4865   310.3
11.5500       -451.8654    -454.3510       2.4856   310.1
11.6000       -452.0951    -454.0919       1.9969   249.2
11.6500       -452.1523    -454.2803       2.1280   265.5
11.7000       -452.5556    -454.2423       1.6867   210.5
11.7500       -452.6884    -454.5106       1.8222   227.4
11.8000       -452.4141    -454.3430       1.9290   240.7
11.8500       -452.4335    -454.3967       1.9632   245.0
11.9000       -452.0427    -454.4511       2.4084   300.5
11.9500       -451.9627    -454.2841       2.3214   289.7
12.0000       -451.9871    -454.4949       2.5078   312.9
12.0500       -451.6494    -454.0314       2.3821   297.2
12.1000       -451.5007    -453.9802       2.4795   309.4
12.1500       -451.3445    -453.6215       2.2770   284.1
12.2000       -451.3932    -453.8564       2.4631   307.3
12.2500       -450.6308    -453.4511       2.8203   351.9
12.3000       -451.3494    -453.7167       2.3673   295.4
12.3500       -450.8778    -453.6646       2.7868   347.7
12.4000       -450.8195    -453.4022       2.5827   322.3
12.4500       -451.3359    -453.7450       2.4091   300.6
12.5000       -451.1689    -453.4838       2.3148   288.8
12.5500       -451.3827    -453.6586       2.2759   284.0
