Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -574.0829    -577.8160       3.7331   328.2
0.0500        -572.9491    -575.2421       2.2931   201.6
0.1000        -571.9269    -574.8835       2.9566   259.9
0.1500        -571.1534    -574.4839       3.3305   292.8
0.2000        -571.0039    -574.3871       3.3832   297.4
0.2500        -571.4297    -574.6494       3.2197   283.1
0.3000        -571.0568    -574.4908       3.4340   301.9
0.3500        -570.6245    -574.5252       3.9007   342.9
0.4000        -570.9872    -574.4513       3.4641   304.5
0.4500        -570.2674    -574.2705       4.0031   351.9
0.5000        -570.1348    -573.6950       3.5602   313.0
0.5500        -570.5736    -574.2543       3.6807   323.6
0.6000        -570.2229    -574.0436       3.8207   335.9
0.6500        -570.9004    -574.4601       3.5597   312.9
0.7000        -571.7593    -574.6927       2.9333   257.9
0.7500        -571.5851    -574.8524       3.2673   287.2
0.8000        -570.8142    -574.0380       3.2238   283.4
0.8500        -570.6948    -574.2721       3.5773   314.5
0.9000        -570.5617    -574.2088       3.6471   320.6
0.9500        -571.1591    -574.5392       3.3801   297.2
1.0000        -571.7352    -574.7919       3.0567   268.7
1.0500        -571.9552    -574.6257       2.6705   234.8
1.1000        -571.5819    -574.6691       3.0872   271.4
1.1500        -571.6197    -575.0676       3.4479   303.1
1.2000        -571.3306    -574.4837       3.1531   277.2
1.2500        -570.8576    -574.2766       3.4190   300.6
1.3000        -570.9792    -575.0438       4.0646   357.3
1.3500        -570.6813    -574.6223       3.9410   346.5
1.4000        -570.8382    -574.5927       3.7545   330.1
1.4500        -571.1167    -574.8019       3.6852   324.0
1.5000        -570.8321    -574.4294       3.5972   316.2
1.5500        -570.8869    -574.7579       3.8710   340.3
1.6000        -571.0472    -574.5147       3.4675   304.8
1.6500        -571.3303    -574.5057       3.1754   279.2
1.7000        -570.4570    -573.8701       3.4131   300.1
1.7500        -571.1302    -574.8770       3.7469   329.4
1.8000        -571.6469    -574.7070       3.0601   269.0
1.8500        -571.4039    -574.7605       3.3566   295.1
1.9000        -571.5042    -575.1480       3.6438   320.3
1.9500        -571.5880    -575.2601       3.6721   322.8
2.0000        -571.5913    -575.2739       3.6826   323.7
2.0500        -571.2848    -574.8602       3.5755   314.3
2.1000        -570.8356    -574.4641       3.6285   319.0
2.1500        -570.7659    -574.7834       4.0176   353.2
2.2000        -570.9717    -574.7920       3.8203   335.9
2.2500        -571.1487    -574.6122       3.4635   304.5
2.3000        -570.7350    -574.1455       3.4105   299.8
2.3500        -570.7956    -574.2160       3.4204   300.7
2.4000        -570.3490    -574.6202       4.2713   375.5
2.4500        -571.1128    -574.2659       3.1531   277.2
2.5000        -570.6316    -574.5638       3.9322   345.7
2.5500        -570.9250    -574.3826       3.4577   304.0
2.6000        -571.4890    -574.6663       3.1773   279.3
2.6500        -571.1575    -574.8961       3.7385   328.7
2.7000        -571.0507    -574.7798       3.7291   327.8
2.7500        -570.5603    -574.4910       3.9308   345.6
2.8000        -570.5161    -574.1522       3.6360   319.7
2.8500        -570.5717    -573.9751       3.4034   299.2
2.9000        -570.3844    -573.8980       3.5136   308.9
2.9500        -570.4949    -574.3430       3.8481   338.3
3.0000        -570.3138    -574.0270       3.7132   326.4
3.0500        -570.3584    -574.2651       3.9067   343.5
