#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   3186      9.01e+00    9.77e+00      5.90e-02    5.80e-02      2.85e-01    3.09e-01    1.0e-03
   3240      8.15e+00    8.28e+00      8.02e-02    1.71e-02      2.58e-01    2.62e-01    1.0e-03
   3294      6.30e+00    5.94e+00      9.37e-04    9.20e-02      1.99e-01    1.88e-01    1.0e-03
   3348      6.40e+00    4.60e+00      5.54e-02    7.29e-03      2.02e-01    1.45e-01    1.0e-03
   3402      4.69e+00    5.89e+00      3.01e-02    2.84e-02      1.48e-01    1.86e-01    1.0e-03
   3456      6.39e+00    6.41e+00      2.41e-02    2.26e-02      2.02e-01    2.03e-01    1.0e-03
   3510      5.66e+00    5.07e+00      6.22e-02    6.33e-02      1.79e-01    1.60e-01    1.0e-03
   3564      5.90e+00    6.02e+00      6.60e-03    1.03e-01      1.86e-01    1.90e-01    1.0e-03
   3618      6.60e+00    6.12e+00      3.15e-02    3.08e-02      2.09e-01    1.93e-01    1.0e-03
   3672      5.14e+00    4.44e+00      5.88e-02    8.94e-03      1.62e-01    1.41e-01    1.0e-03
   3726      7.19e+00    6.58e+00      9.10e-03    8.77e-02      2.27e-01    2.08e-01    1.0e-03
   3780      6.67e+00    6.50e+00      2.26e-01    1.28e-01      2.11e-01    2.05e-01    1.0e-03
   3834      5.16e+00    6.01e+00      7.06e-02    6.93e-02      1.63e-01    1.90e-01    1.0e-03
   3888      5.32e+00    6.46e+00      4.35e-02    4.07e-02      1.68e-01    2.04e-01    1.0e-03
   3942      5.88e+00    5.68e+00      2.09e-02    2.41e-02      1.86e-01    1.79e-01    1.0e-03
   3996      6.49e+00    5.27e+00      1.02e-01    1.10e-02      2.05e-01    1.67e-01    1.0e-03
   4050      5.76e+00    4.64e+00      7.96e-02    5.99e-02      1.82e-01    1.47e-01    1.0e-03
   4104      5.42e+00    5.82e+00      2.04e-02    1.89e-02      1.71e-01    1.84e-01    1.0e-03
   4158      5.01e+00    5.76e+00      3.28e-02    3.34e-02      1.58e-01    1.82e-01    1.0e-03
   4212      4.45e+00    5.50e+00      4.01e-02    3.80e-02      1.41e-01    1.74e-01    1.0e-03
   4266      6.64e+00    4.62e+00      5.72e-02    3.13e-02      2.10e-01    1.46e-01    1.0e-03
   4320      6.02e+00    6.41e+00      2.86e-02    2.92e-02      1.90e-01    2.03e-01    1.0e-03
   4374      6.11e+00    4.36e+00      4.73e-02    2.57e-02      1.93e-01    1.38e-01    1.0e-03
   4428      6.51e+00    6.69e+00      1.61e-02    1.24e-02      2.06e-01    2.12e-01    1.0e-03
   4482      1.05e+01    5.81e+00      2.95e-02    2.91e-02      3.32e-01    1.84e-01    1.0e-03
   4536      4.64e+00    5.90e+00      1.20e-01    1.18e-01      1.47e-01    1.86e-01    1.0e-03
   4590      5.37e+00    4.16e+00      1.17e-02    2.43e-02      1.70e-01    1.32e-01    1.0e-03
   4644      4.70e+00    3.94e+00      9.21e-02    1.72e-02      1.49e-01    1.25e-01    1.0e-03
   4698      1.19e+01    6.59e+00      1.42e-01    2.44e-02      3.75e-01    2.08e-01    1.0e-03
   4752      5.57e+00    6.32e+00      4.89e-02    1.44e-01      1.76e-01    2.00e-01    1.0e-03
   4806      5.47e+00    6.44e+00      2.74e-02    2.70e-02      1.73e-01    2.04e-01    1.0e-03
   4860      5.94e+00    4.34e+00      2.58e-02    2.53e-02      1.88e-01    1.37e-01    1.0e-03
   4914      5.05e+00    5.93e+00      9.15e-03    9.30e-02      1.60e-01    1.87e-01    1.0e-03
   4968      4.77e+00    5.59e+00      7.43e-03    5.57e-03      1.51e-01    1.77e-01    1.0e-03
   5022      4.29e+00    3.36e+00      1.75e-01    8.18e-02      2.06e-01    1.68e-01    3.9e-04
   5076      2.98e+00    3.34e+00      1.66e-02    9.88e-02      1.51e-01    1.66e-01    3.9e-04
   5130      2.47e+00    3.30e+00      3.52e-02    3.81e-02      1.25e-01    1.67e-01    3.9e-04
   5184      3.91e+00    2.59e+00      1.55e-02    2.57e-03      1.98e-01    1.32e-01    3.9e-04
   5238      3.40e+00    2.42e+00      8.28e-03    2.29e-03      1.73e-01    1.23e-01    3.9e-04
   5292      3.82e+00    2.43e+00      1.87e-02    4.02e-03      1.94e-01    1.24e-01    3.9e-04
   5346      3.97e+00    4.02e+00      2.31e-01    2.31e-01      1.78e-01    1.81e-01    3.9e-04
   5400      2.54e+00    2.35e+00      4.98e-03    2.48e-02      1.29e-01    1.19e-01    3.9e-04
   5454      4.01e+00    3.09e+00      6.40e-02    1.54e-02      2.02e-01    1.57e-01    3.9e-04
   5508      3.21e+00    2.38e+00      3.87e-02    5.15e-02      1.62e-01    1.20e-01    3.9e-04
   5562      3.64e+00    3.77e+00      7.39e-02    7.21e-02      1.83e-01    1.89e-01    3.9e-04
   5616      3.26e+00    2.44e+00      5.25e-02    3.83e-02      1.64e-01    1.23e-01    3.9e-04
