#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
   5900      8.15e+00    7.17e+00      2.31e-02    3.55e-02      3.32e-01    2.91e-01    6.0e-04
   6000      7.84e+00    7.48e+00      1.00e-01    1.02e-01      3.09e-01    2.94e-01    6.0e-04
   6100      7.53e+00    8.29e+00      3.60e-03    1.33e-02      3.08e-01    3.38e-01    6.0e-04
   6200      8.27e+00    7.14e+00      3.57e-03    1.80e-02      3.38e-01    2.91e-01    6.0e-04
   6300      7.57e+00    7.46e+00      2.32e-02    2.41e-02      3.09e-01    3.04e-01    6.0e-04
   6400      8.20e+00    8.13e+00      4.75e-02    4.29e-02      3.33e-01    3.30e-01    6.0e-04
   6500      7.57e+00    8.30e+00      5.65e-02    4.83e-02      3.06e-01    3.37e-01    6.0e-04
   6600      8.01e+00    7.52e+00      3.48e-02    3.32e-02      3.26e-01    3.06e-01    6.0e-04
   6700      8.28e+00    8.16e+00      1.53e-02    1.42e-02      3.38e-01    3.33e-01    6.0e-04
   6800      7.36e+00    7.25e+00      2.26e-02    2.49e-02      3.00e-01    2.96e-01    6.0e-04
   6900      7.58e+00    8.22e+00      6.83e-03    5.19e-03      3.10e-01    3.36e-01    6.0e-04
   7000      7.52e+00    7.40e+00      1.69e-02    1.47e-02      3.07e-01    3.02e-01    6.0e-04
   7100      7.46e+00    7.54e+00      1.25e-04    2.53e-04      3.05e-01    3.08e-01    6.0e-04
   7200      7.53e+00    8.20e+00      1.65e-03    5.07e-03      3.08e-01    3.35e-01    6.0e-04
   7300      8.21e+00    7.80e+00      3.85e-02    4.50e-02      3.34e-01    3.16e-01    6.0e-04
   7400      8.27e+00    8.15e+00      2.13e-02    6.60e-03      3.37e-01    3.33e-01    6.0e-04
   7500      8.07e+00    7.18e+00      5.32e-02    3.67e-02      3.27e-01    2.92e-01    6.0e-04
   7600      7.94e+00    8.00e+00      2.22e-02    2.45e-02      3.24e-01    3.26e-01    6.0e-04
   7700      7.63e+00    8.13e+00      1.27e-02    1.37e-02      3.12e-01    3.32e-01    6.0e-04
   7800      7.69e+00    8.05e+00      4.18e-02    1.80e-02      3.12e-01    3.29e-01    6.0e-04
   7900      7.48e+00    8.19e+00      3.43e-02    3.09e-02      3.04e-01    3.34e-01    6.0e-04
   8000      7.72e+00    7.66e+00      3.45e-02    8.42e-03      3.14e-01    3.13e-01    6.0e-04
   8100      7.55e+00    7.27e+00      1.25e-02    1.16e-02      3.08e-01    2.97e-01    6.0e-04
   8200      7.45e+00    7.02e+00      3.53e-02    3.73e-02      3.03e-01    2.85e-01    6.0e-04
   8300      8.59e+00    7.10e+00      1.52e-02    1.14e-02      3.50e-01    2.90e-01    6.0e-04
