Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000         -661.089     -665.236        4.147   308.5
0.0500         -659.636     -662.444        2.808   208.8
0.1000         -658.387     -661.932        3.545   263.7
0.1500         -658.487     -661.639        3.152   234.5
0.2000         -657.231     -661.637        4.406   327.7
0.2500         -657.255     -661.492        4.237   315.2
0.3000         -657.710     -661.050        3.340   248.5
0.3500         -657.009     -660.558        3.548   264.0
0.4000         -656.709     -660.941        4.231   314.7
0.4500         -655.609     -660.246        4.636   344.9
0.5000         -655.904     -660.450        4.546   338.2
0.5500         -656.176     -660.722        4.546   338.2
0.6000         -657.062     -661.228        4.166   309.9
0.6500         -657.735     -661.374        3.640   270.8
0.7000         -657.668     -660.749        3.081   229.2
0.7500         -657.477     -661.459        3.982   296.2
0.8000         -656.804     -661.116        4.311   320.7
0.8500         -656.490     -660.460        3.970   295.3
0.9000         -656.743     -660.752        4.009   298.2
0.9500         -657.036     -661.042        4.007   298.0
1.0000         -656.974     -661.158        4.185   311.3
1.0500         -656.940     -660.906        3.966   295.0
1.1000         -656.600     -660.867        4.267   317.4
1.1500         -656.748     -660.872        4.124   306.8
1.2000         -656.577     -660.978        4.401   327.4
1.2500         -656.490     -660.811        4.320   321.4
1.3000         -656.683     -660.762        4.080   303.5
1.3500         -656.560     -660.805        4.245   315.8
1.4000         -656.296     -660.638        4.342   323.0
1.4500         -656.208     -661.018        4.811   357.9
1.5000         -655.830     -660.583        4.754   353.6
1.5500         -656.500     -660.813        4.313   320.8
1.6000         -656.835     -660.685        3.850   286.4
1.6500         -656.915     -661.607        4.692   349.0
1.7000         -656.974     -661.613        4.639   345.1
1.7500         -657.238     -661.241        4.003   297.8
1.8000         -657.347     -661.727        4.380   325.8
1.8500         -657.439     -661.325        3.886   289.1
1.9000         -656.664     -660.711        4.046   301.0
1.9500         -657.007     -660.931        3.924   291.9
2.0000         -656.743     -660.872        4.129   307.1
2.0500         -657.171     -661.596        4.425   329.1
2.1000         -657.221     -661.328        4.108   305.6
2.1500         -656.882     -660.767        3.885   289.0
2.2000         -656.194     -660.829        4.635   344.8
2.2500         -657.269     -661.065        3.796   282.4
2.3000         -657.464     -660.888        3.425   254.8
2.3500         -656.973     -661.166        4.193   311.9
2.4000         -657.479     -660.927        3.447   256.5
2.4500         -656.442     -660.662        4.220   313.9
2.5000         -655.756     -660.320        4.564   339.5
2.5500         -655.597     -660.209        4.612   343.1
2.6000         -655.925     -660.429        4.504   335.1
2.6500         -656.630     -660.889        4.259   316.8
